"name","population","coords"
"Micronesia",115021,"{6.91667, 158.25}"
"Moldova",4033963,"{47., 29.}"
"Monaco",39244,"{43.733333333333334, 7.4}"
"Mongolia",3278292,"{46., 105.}"
"Montenegro",628062,"{42.5, 19.3}"
"Montserrat",4999,"{16.75, -62.2}"
"Morocco",36910558,"{32., -5.}"
"Mozambique",31255435,"{-18.25, 35.}"
"Myanmar",54409794,"{22., 98.}"
"Namibia",2540916,"{-22., 17.}"
"Nauru",10834,"{-0.5333333333333333, 166.91666666666666}"
"Nepal",29136808,"{28., 84.}"
"Netherlands",17134873,"{52.5, 5.75}"
"New Caledonia",285491,"{-21.5, 165.5}"
"New Zealand",4822233,"{-41., 174.}"
"Nicaragua",6624554,"{13., -85.}"
"Niger",24206636,"{16., 8.}"
"Nigeria",206139587,"{10., 8.}"
"Niue",1618,"{-19.033333333333335, -169.86666666666667}"
"Norfolk Island",2196,"{-29.033333333333335, 167.95}"
"Northern Mariana Islands",57557,"{15.2, 145.75}"
"North Korea",25778815,"{40., 127.}"
"Norway",5421242,"{62., 10.}"
"Oman",5106622,"{21., 57.}"
"Pakistan",220892331,"{30., 70.}"
"Palau",18092,"{7.5, 134.5}"
"Panama",4314768,"{9., -80.}"
"Papua New Guinea",8947027,"{-6., 147.}"
"Paraguay",7132530,"{-23., -58.}"
"Peru",32971846,"{-10., -76.}"
"Philippines",109581085,"{13., 122.}"
"Poland",37846605,"{52., 20.}"
"Portugal",10196707,"{39.5, -8.}"
"Puerto Rico",2860840,"{18.25, -66.5}"
"Qatar",2881060,"{25.5, 51.25}"
"Republic of the Congo",5518092,"{-1., 15.}"
"Réunion",895308,"{-21.1, 55.6}"
"Romania",19237682,"{46., 25.}"
"Russia",145934460,"{60., 100.}"
"Rwanda",12952209,"{-2., 30.}"
"Saint Barthelemy",9885,"{17.9016, -62.8293}"
"Saint Helena, Ascension and Tristan da Cunha",6071,"{-15.95, -5.7}"
"Saint Kitts and Nevis",53192,"{17.333, -62.75}"
"Saint Lucia",183629,"{13.88333, -60.9667}"
"Saint Martin",38659,"{18.0829, -63.0493}"
"Saint Pierre and Miquelon",5795,"{46.833, -56.333}"
"Saint Vincent and the Grenadines",110947,"{13.25, -61.2}"
"Samoa",198410,"{-13.5833, -172.333}"
"San Marino",33938,"{43.9409, 12.4642}"
"São Tomé and Príncipe",219161,"{1., 7.}"
"Saudi Arabia",34813867,"{25., 45.}"
"Senegal",16743930,"{14., -14.}"
"Serbia",8790574,"{44., 21.}"
"Seychelles",98340,"{-4.58333, 55.667}"
"Sierra Leone",7976985,"{8.5, -11.5}"
"Singapore",5850343,"{1.3667, 103.8}"
"Sint Maarten",42882,"{18.03, -63.07}"
"Slovakia",5459643,"{48.667, 19.5}"
"Slovenia",2078932,"{46.11667, 14.81667}"
"Solomon Islands",686878,"{-8., 159.}"
"Somalia",15893219,"{10., 49.}"
"South Africa",59308690,"{-29., 24.}"
"South Korea",51269183,"{37., 127.5}"
"South Sudan",11193729,"{6.7, 30.51}"
"Spain",46754783,"{40., -4.}"
"Sri Lanka",21413250,"{7., 81.}"
"Sudan",43849269,"{13.8, 30.}"
"Suriname",586634,"{4., -56.}"
"Svalbard",2637,"{78., 20.}"
"Eswatini",1160164,"{-26.5, 31.5}"
"Sweden",10099270,"{62., 15.}"
"Switzerland",8654618,"{47., 8.}"
"Syria",17500657,"{35., 38.}"
"Taiwan",23816775,"{23.5, 121.}"
"Tajikistan",9537642,"{39., 71.}"
"Tanzania",59734213,"{-6., 35.}"
"Thailand",69799978,"{15., 100.}"
"Togo",8278737,"{8., 1.1667}"
"Tokelau",1350,"{-9., -172.}"
"Tonga",105697,"{-20., -175.}"
"Trinidad and Tobago",1399491,"{10.5, -61.2}"
"Tunisia",11818618,"{34., 9.}"
"Turkey",84339067,"{39., 35.}"
"Turkmenistan",6031187,"{40., 60.}"
"Turks and Caicos Islands",38718,"{21.75, -71.58333}"
"Tuvalu",11792,"{-8., 178.}"
"Uganda",45741000,"{1., 32.}"
"Ukraine",43733759,"{49., 32.}"
"United Arab Emirates",9890400,"{24., 54.}"
"United Kingdom",67886004,"{54., -2.}"
"United States",331449281,"{38., -97.}"
"United States Virgin Islands",104423,"{18.333, -64.833}"
"Uruguay",3473727,"{-33., -56.}"
"Uzbekistan",33469199,"{41., 64.}"
"Vanuatu",307150,"{-16., 167.}"
"Vatican City",809,"{41.9026, 12.4525}"
"Venezuela",28435943,"{8., -66.}"
"Vietnam",97338583,"{16.17, 107.83}"
"Wallis and Futuna Islands",11246,"{-13.3, -176.2}"
"West Bank",2731052,"{32., 35.25}"
"Western Sahara",597330,"{24.5, -13.}"
"Yemen",29825968,"{15., 48.}"
"Zambia",18383956,"{-15., 30.}"
"Zimbabwe",14862927,"{-20., 30.}"
